userId,history_len,drift,focus,maturity,freshness,w_ncf,w_tr,w_gen,static_rank,damr_rank,static_hit,damr_hit,static_ndcg,damr_ndcg
24036,21,0.3666,0.4271,0.5741,0.1054,0.3981110751628876,0.3706780970096588,0.2312108278274536,89,53,0,0,0.0,0.0
25423,82,0.0855,0.2717,0.8286,0.5698,0.6297154426574707,0.23629027605056763,0.13399426639080048,76,68,0,0,0.0,0.0
2026,32,0.4224,0.408,0.6535,0.2342,0.3722088634967804,0.4271427094936371,0.20064839720726013,31,16,0,0,0.0,0.0
10183,70,0.1586,0.3202,0.8011,0.5209,0.5745619535446167,0.276417076587677,0.1490209549665451,4,2,1,1,0.43067655807339306,0.6309297535714575
29842,64,0.0892,0.2726,0.7486,0.4209,0.618084728717804,0.22907021641731262,0.15284503996372223,6,19,1,0,0.3562071871080222,0.0
24636,72,0.0548,0.2886,0.809,0.5353,0.6457074284553528,0.21651709079742432,0.1377754956483841,26,49,0,0,0.0,0.0
24707,220,0.0507,0.2565,0.9673,0.765,0.6712774038314819,0.2243787795305252,0.10434383153915405,30,2,0,1,0.0,0.6309297535714575
29498,725,0.035,0.1796,1.0,0.9382,0.6772443652153015,0.23159614205360413,0.09115954488515854,25,82,0,0,0.0,0.0
5050,107,0.1521,0.2876,0.8811,0.6541,0.5901468992233276,0.28198233246803284,0.1278708130121231,53,22,0,0,0.0,0.0
9138,91,0.033,0.2147,0.8506,0.6065,0.669236421585083,0.20989352464675903,0.12087009102106094,41,33,0,0,0.0,0.0
24360,206,0.1056,0.2341,1.0,0.7994,0.6413757801055908,0.2583715319633484,0.10025275498628616,34,6,0,1,0.0,0.3562071871080222
26445,323,0.0211,0.21,1.0,0.8637,0.6912943720817566,0.21533149480819702,0.09337417036294937,22,6,0,1,0.0,0.3562071871080222
20941,121,0.124,0.371,0.7451,0.4138,0.5876592397689819,0.2456457018852234,0.16669507324695587,1,2,1,1,1.0,0.6309297535714575
18543,137,0.1746,0.2167,0.898,0.6785,0.5803974270820618,0.3003823459148407,0.11922018229961395,19,15,0,0,0.0,0.0
16602,76,0.0606,0.2645,0.8191,0.5532,0.6449832916259766,0.22129738330841064,0.13371938467025757,20,27,0,0,0.0,0.0
37840,191,0.0798,0.2365,0.9833,0.782,0.6559977531433105,0.2421507090330124,0.10185153782367706,8,9,1,1,0.31546487678572877,0.3010299956639812
1584,23,0.1077,0.3986,0.5993,0.1413,0.5731760859489441,0.21594548225402832,0.21087847650051117,32,28,0,0,0.0,0.0
12408,31,0.3425,0.4075,0.6475,0.2231,0.42567548155784607,0.368643581867218,0.2056809812784195,23,10,0,1,0.0,0.2890648263178879
32936,72,0.1188,0.3633,0.8038,0.5258,0.5986089706420898,0.25073376297950745,0.1506572663784027,13,52,0,0,0.0,0.0
34117,44,0.2328,0.3461,0.7002,0.3247,0.5112443566322327,0.30730804800987244,0.18144753575325012,17,7,0,1,0.0,0.3333333333333333
25690,129,0.0555,0.1342,0.9104,0.6957,0.6673144698143005,0.22772856056690216,0.1049569696187973,85,23,0,0,0.0,0.0
7738,43,0.0799,0.4258,0.7048,0.3337,0.6057414412498474,0.21358314156532288,0.1806754320859909,33,45,0,0,0.0,0.0
17503,522,0.0254,0.1888,1.0,0.903,0.6861449480056763,0.22214536368846893,0.0917096734046936,38,12,0,0,0.0,0.0
17383,253,0.0267,0.204,1.0,0.8359,0.690626859664917,0.21575269103050232,0.0936204344034195,20,27,0,0,0.0,0.0
29619,134,0.0607,0.2397,0.8776,0.6488,0.6536663770675659,0.22673684358596802,0.11959678679704666,23,35,0,0,0.0,0.0
14321,239,0.0677,0.2452,1.0,0.8135,0.6645487546920776,0.23644159734249115,0.09900964051485062,66,66,0,0,0.0,0.0
19011,684,0.0265,0.1762,1.0,0.9251,0.6840491890907288,0.2252887487411499,0.09066205471754074,79,20,0,0,0.0,0.0
32450,43,0.1498,0.2958,0.7136,0.3512,0.5728284120559692,0.25885528326034546,0.16831634938716888,10,6,1,1,0.2890648263178879,0.3562071871080222
13309,41,0.2896,0.2827,0.6956,0.3154,0.47566288709640503,0.34814268350601196,0.1761944741010666,85,41,0,0,0.0,0.0
8064,89,0.0503,0.248,0.8443,0.5962,0.6555824875831604,0.21819670498371124,0.12622083723545074,71,64,0,0,0.0,0.0
39174,27,0.1501,0.3424,0.5649,0.0936,0.5448637008666992,0.23785679042339325,0.21727953851222992,80,16,0,0,0.0,0.0
38444,30,0.3036,0.6123,0.6475,0.2231,0.43616119027137756,0.3296445310115814,0.23419424891471863,50,26,0,0,0.0,0.0
29976,336,0.0178,0.1813,1.0,0.8515,0.6958838701248169,0.21270917356014252,0.09140697866678238,95,22,0,0,0.0,0.0
11516,299,0.0326,0.2109,1.0,0.8572,0.6846773624420166,0.22116538882255554,0.09415729343891144,68,92,0,0,0.0,0.0
29550,179,0.0459,0.2648,0.9384,0.7316,0.6696350574493408,0.22077979147434235,0.10958514362573624,33,5,0,1,0.0,0.38685280723454163
5810,98,0.0995,0.2316,0.8567,0.6164,0.6264468431472778,0.24822533130645752,0.12532782554626465,23,2,0,1,0.0,0.6309297535714575
21256,20,0.3175,0.4169,0.5741,0.1054,0.4311782717704773,0.3380773067474365,0.230744406580925,71,64,0,0,0.0,0.0
23084,251,0.0493,0.2061,1.0,0.8334,0.6765544414520264,0.22841086983680725,0.09503469616174698,42,66,0,0,0.0,0.0
4218,50,0.2496,0.2431,0.6475,0.2231,0.5014632940292358,0.3137302100658417,0.18480652570724487,53,21,0,0,0.0,0.0
19305,134,0.0832,0.3007,0.9249,0.7148,0.6416670680046082,0.24123525619506836,0.11709769070148468,74,91,0,0,0.0,0.0
19969,47,0.1529,0.2738,0.726,0.376,0.5738084316253662,0.26343023777008057,0.16276130080223083,86,59,0,0,0.0,0.0
10496,143,0.0704,0.275,0.9318,0.7234,0.6525021195411682,0.2344769686460495,0.11302097141742706,88,50,0,0,0.0,0.0
11602,65,0.0912,0.3376,0.7782,0.4782,0.6154054999351501,0.232150137424469,0.15244446694850922,58,99,0,0,0.0,0.0
24006,36,0.0993,0.3339,0.6809,0.2865,0.5981687307357788,0.22366422414779663,0.17816708981990814,6,43,1,0,0.3562071871080222,0.0
33554,42,0.2166,0.3492,0.7092,0.3425,0.5231172442436218,0.298147588968277,0.17873507738113403,51,46,0,0,0.0,0.0
40387,39,0.2389,0.3162,0.6908,0.306,0.5082646012306213,0.3109571635723114,0.18077826499938965,80,87,0,0,0.0,0.0
39522,105,0.1045,0.2746,0.8215,0.5574,0.6162956953048706,0.24672144651412964,0.13698287308216095,7,19,1,0,0.3333333333333333,0.0
13365,39,0.1025,0.2768,0.6908,0.306,0.6022529602050781,0.22859013080596924,0.16915687918663025,14,17,0,0,0.0,0.0
9207,63,0.2478,0.4619,0.7624,0.4477,0.49876388907432556,0.3236542344093323,0.17758189141750336,45,32,0,0,0.0,0.0
40032,27,0.0533,0.4608,0.6283,0.1889,0.6055598855018616,0.18960566818714142,0.20483452081680298,37,73,0,0,0.0,0.0
32587,124,0.1157,0.2745,0.8721,0.6405,0.6147801876068115,0.2583661377429962,0.1268536001443863,88,22,0,0,0.0,0.0
38518,18,0.2922,0.3802,0.545,0.0709,0.4450962543487549,0.32024088501930237,0.23466280102729797,7,9,1,1,0.3333333333333333,0.3010299956639812
38554,159,0.0574,0.2539,0.9436,0.7378,0.6637439131736755,0.22772514820098877,0.10853096097707748,40,65,0,0,0.0,0.0
24484,111,0.0355,0.2047,0.888,0.6643,0.6729331016540527,0.2139236032962799,0.11314328014850616,57,39,0,0,0.0,0.0
41080,26,0.2723,0.3669,0.5993,0.1413,0.4696095287799835,0.31476759910583496,0.21562279760837555,16,50,0,0,0.0,0.0
8590,119,0.0538,0.2261,0.898,0.6785,0.6614794135093689,0.22430838644504547,0.11421217769384384,62,5,0,1,0.0,0.38685280723454163
5720,31,0.1637,0.3457,0.6535,0.2342,0.5518897771835327,0.25609830021858215,0.19201189279556274,73,41,0,0,0.0,0.0
4273,46,0.2406,0.2604,0.7219,0.3679,0.5140075087547302,0.32024964690208435,0.16574275493621826,23,14,0,0,0.0,0.0
39799,27,0.254,0.4356,0.6283,0.1889,0.48076358437538147,0.3038756549358368,0.21536077558994293,13,9,0,1,0.0,0.3010299956639812
41489,334,0.0504,0.1943,1.0,0.853,0.6746276617050171,0.2313435822725296,0.09402868151664734,20,10,0,1,0.0,0.2890648263178879
31681,125,0.0632,0.2317,0.9043,0.6873,0.6559770703315735,0.22993780672550201,0.1140851080417633,18,29,0,0,0.0,0.0
40221,168,0.0681,0.2445,0.9485,0.7437,0.6581047773361206,0.23431755602359772,0.10757767409086227,90,22,0,0,0.0,0.0
27234,68,0.0816,0.267,0.7984,0.5159,0.6290674805641174,0.23095005750656128,0.13998250663280487,40,38,0,0,0.0,0.0
4802,33,0.2427,0.4476,0.6649,0.2557,0.49249446392059326,0.3024682402610779,0.20503735542297363,4,11,1,0,0.43067655807339306,0.0
8270,68,0.129,0.2005,0.7984,0.5159,0.6024371385574341,0.26108506321907043,0.13647784292697906,60,90,0,0,0.0,0.0
21104,91,0.0471,0.2409,0.8464,0.5997,0.6582990288734436,0.21675164997577667,0.12494932115077972,74,100,0,0,0.0,0.0
41481,66,0.1573,0.2342,0.759,0.4412,0.5770819187164307,0.2724887430667877,0.15042930841445923,54,57,0,0,0.0,0.0
29845,57,0.2264,0.4036,0.7656,0.4541,0.5181212425231934,0.3123524785041809,0.1695263385772705,39,36,0,0,0.0,0.0
30834,115,0.0866,0.3427,0.888,0.6643,0.6317628622055054,0.24016761779785156,0.12806949019432068,95,7,0,1,0.0,0.3333333333333333
34105,23,0.2656,0.5476,0.5912,0.1293,0.4571964144706726,0.29912933707237244,0.24367421865463257,1,2,1,1,1.0,0.6309297535714575
22893,28,0.1253,0.396,0.6349,0.2005,0.5691222548484802,0.22965270280838013,0.20122510194778442,5,4,1,1,0.38685280723454163,0.43067655807339306
8498,415,0.0394,0.1553,1.0,0.8747,0.6815798282623291,0.22784747183322906,0.09057266265153885,84,60,0,0,0.0,0.0
12137,89,0.0383,0.2969,0.8443,0.5962,0.6597257256507874,0.21054454147815704,0.1297297328710556,19,27,0,0,0.0,0.0
8547,41,0.261,0.3989,0.6757,0.2765,0.4852166473865509,0.3189321756362915,0.19585107266902924,18,42,0,0,0.0,0.0
28730,80,0.1055,0.2324,0.8166,0.5488,0.617911696434021,0.24792806804180145,0.13416020572185516,76,66,0,0,0.0,0.0
40445,656,0.0252,0.1833,1.0,0.932,0.6838806867599487,0.22514089941978455,0.09097842127084732,39,72,0,0,0.0,0.0
3534,81,0.0609,0.353,0.7842,0.4895,0.6341098546981812,0.21556343138217926,0.15032675862312317,17,25,0,0,0.0,0.0
8194,317,0.0312,0.2081,1.0,0.8669,0.6848171949386597,0.22141413390636444,0.09376867115497589,9,30,1,0,0.3010299956639812,0.0
34138,121,0.0656,0.248,0.9043,0.6873,0.6534587144851685,0.23098722100257874,0.11555404961109161,28,31,0,0,0.0,0.0
10164,29,0.191,0.4247,0.6215,0.1771,0.5221489071846008,0.26429232954978943,0.21355871856212616,42,52,0,0,0.0,0.0
38142,28,0.1335,0.3423,0.6349,0.2005,0.5687748789787292,0.23619499802589417,0.1950300633907318,18,9,0,1,0.0,0.3010299956639812
40519,28,0.2319,0.4519,0.6283,0.1889,0.4940568506717682,0.28903383016586304,0.21690936386585236,42,84,0,0,0.0,0.0
10818,23,0.3919,0.374,0.5993,0.1413,0.38892167806625366,0.39619675278663635,0.2148815542459488,57,34,0,0,0.0,0.0
21464,53,0.1997,0.4711,0.7451,0.4138,0.5293585658073425,0.28840309381484985,0.18223829567432404,15,24,0,0,0.0,0.0
15045,123,0.1019,0.2952,0.9059,0.6894,0.6270685195922852,0.2516826093196869,0.12124881893396378,63,43,0,0,0.0,0.0
22995,18,0.2539,0.3997,0.545,0.0709,0.46842053532600403,0.2947417199611664,0.23683775961399078,78,47,0,0,0.0,0.0
34182,18,0.4786,0.449,0.5552,0.0821,0.3222811222076416,0.444596529006958,0.2331223040819168,44,23,0,0,0.0,0.0
18888,111,0.1421,0.2331,0.8863,0.6618,0.6009488105773926,0.277395099401474,0.12165616452693939,52,43,0,0,0.0,0.0
5146,333,0.045,0.138,1.0,0.8688,0.67940753698349,0.23079828917980194,0.08979418128728867,39,15,0,0,0.0,0.0
16671,810,0.0245,0.1788,1.0,0.9452,0.6833252310752869,0.2261919379234314,0.09048281610012054,46,3,0,1,0.0,0.5
13054,23,0.2995,0.5631,0.5912,0.1293,0.4339401423931122,0.31967970728874207,0.24638013541698456,23,2,0,1,0.0,0.6309297535714575
18295,153,0.0397,0.244,0.9436,0.7378,0.675467848777771,0.21782644093036652,0.10670571029186249,19,71,0,0,0.0,0.0
8258,22,0.0668,0.4358,0.5829,0.1173,0.5905849933624268,0.1925809383392334,0.21683409810066223,98,79,0,0,0.0,0.0
35824,18,0.3897,0.5132,0.5552,0.0821,0.37354427576065063,0.3775222599506378,0.24893344938755035,10,7,1,1,0.2890648263178879,0.3333333333333333
39623,30,0.1929,0.3799,0.6475,0.2231,0.5289185643196106,0.27134403586387634,0.19973738491535187,33,15,0,0,0.0,0.0
33123,29,0.2083,0.5122,0.6413,0.2119,0.5063546895980835,0.2736720144748688,0.2199733406305313,4,4,1,1,0.43067655807339306,0.43067655807339306
