userId,history_len,drift,focus,maturity,freshness,w_ncf,w_tr,w_gen,static_rank,damr_rank,static_hit,damr_hit,static_ndcg,damr_ndcg
24168,81,0.1112,0.2784,0.8309,0.5738,0.6126704812049866,0.2516729235649109,0.13565655052661896,19,4,0,1,0.0,0.43067655807339306
28650,183,0.0203,0.1632,0.975,0.7733,0.696331799030304,0.20901358127593994,0.09465466439723969,90,75,0,0,0.0,0.0
4569,73,0.2541,0.2309,0.809,0.5353,0.5132589340209961,0.3457283675670624,0.14101262390613556,5,14,1,0,0.38685280723454163,0.0
21942,209,0.1138,0.2399,0.9043,0.6873,0.6221585869789124,0.2603372633457184,0.11750420182943344,4,24,1,0,0.43067655807339306,0.0
40920,175,0.0945,0.1326,0.9485,0.7437,0.6468213796615601,0.2525939345359802,0.10058460384607315,35,6,0,1,0.0,0.3562071871080222
20902,101,0.061,0.257,0.8684,0.6347,0.6512334942817688,0.2258816361427307,0.12288478761911392,55,63,0,0,0.0,0.0
8221,162,0.0775,0.156,0.9448,0.7393,0.6563562154769897,0.24158871173858643,0.10205507278442383,85,23,0,0,0.0,0.0
20015,33,0.0954,0.3228,0.6649,0.2557,0.5992217659950256,0.21976850926876068,0.18100973963737488,15,21,0,0,0.0,0.0
33439,199,0.1085,0.2325,0.9639,0.7613,0.6342270374298096,0.2596566081047058,0.10611633211374283,12,2,0,1,0.0,0.6309297535714575
20547,59,0.1215,0.4177,0.7178,0.3596,0.5820401906967163,0.2386152744293213,0.17934450507164001,16,44,0,0,0.0,0.0
27163,22,0.1281,0.4955,0.5649,0.0936,0.5433906316757202,0.21963375806808472,0.23697566986083984,44,10,0,1,0.0,0.2890648263178879
21676,27,0.2188,0.2402,0.6283,0.1889,0.5202292799949646,0.290706068277359,0.18906456232070923,18,10,0,1,0.0,0.2890648263178879
26722,118,0.074,0.2092,0.8931,0.6715,0.6489375233650208,0.2361103892326355,0.11495209485292435,48,18,0,0,0.0,0.0
19670,145,0.0975,0.2799,0.9249,0.7148,0.6334664821624756,0.25037506222724915,0.11615854501724243,69,6,0,1,0.0,0.3562071871080222
36478,101,0.2299,0.4992,0.8038,0.5258,0.5129773616790771,0.3169882595539093,0.17003439366817474,89,36,0,0,0.0,0.0
8428,42,0.1884,0.2877,0.6956,0.3154,0.5455145239830017,0.28018006682395935,0.17430531978607178,35,38,0,0,0.0,0.0
12773,37,0.2039,0.2125,0.6349,0.2005,0.5333902835845947,0.28339067101478577,0.1832190454006195,22,68,0,0,0.0,0.0
27927,82,0.0919,0.2686,0.8286,0.5698,0.6257668137550354,0.24012769758701324,0.13410550355911255,48,4,0,1,0.0,0.43067655807339306
25156,66,0.1535,0.1371,0.79,0.5004,0.5890077352523804,0.2774032652378082,0.13358905911445618,14,2,0,1,0.0,0.6309297535714575
11600,57,0.2086,0.406,0.7556,0.4346,0.5292866230010986,0.29870396852493286,0.1720093935728073,89,7,0,1,0.0,0.3333333333333333
40428,861,0.0199,0.1662,1.0,0.9362,0.6876814365386963,0.22279201447963715,0.08952651172876358,65,5,0,1,0.0,0.38685280723454163
37428,25,0.2069,0.5551,0.5829,0.1173,0.4924068748950958,0.26218709349632263,0.24540607631206512,11,4,0,1,0.0,0.43067655807339306
20041,48,0.3586,0.2559,0.726,0.376,0.43032771348953247,0.4058525860309601,0.16381962597370148,70,53,0,0,0.0,0.0
27018,50,0.1197,0.289,0.726,0.376,0.5945656895637512,0.24301521480083466,0.1624191254377365,15,8,0,1,0.0,0.31546487678572877
36011,81,0.1166,0.1849,0.8239,0.5616,0.6143803000450134,0.2567485272884369,0.1288711577653885,55,28,0,0,0.0,0.0
40,58,0.2055,0.3216,0.7048,0.3337,0.5323200821876526,0.29131871461868286,0.17636115849018097,23,19,0,0,0.0,0.0
20226,40,0.1719,0.4523,0.7002,0.3247,0.5439627170562744,0.26420721411705017,0.19183003902435303,27,20,0,0,0.0,0.0
19108,617,0.0151,0.1651,1.0,0.9279,0.6914988160133362,0.2192021608352661,0.08929901570081711,68,81,0,0,0.0,0.0
14050,129,0.0993,0.1813,0.8547,0.6132,0.6294671297073364,0.24916782975196838,0.1213650181889534,56,37,0,0,0.0,0.0
28566,36,0.3057,0.3845,0.6757,0.2765,0.45551908016204834,0.35011813044548035,0.1943628042936325,59,8,0,1,0.0,0.31546487678572877
38095,227,0.0507,0.2615,1.0,0.8038,0.6754757761955261,0.2251327782869339,0.09939147531986237,34,59,0,0,0.0,0.0
39931,426,0.0755,0.217,1.0,0.8632,0.6561310291290283,0.24716930091381073,0.09669961780309677,12,14,0,0,0.0,0.0
21443,32,0.0806,0.3402,0.6593,0.2451,0.6059845685958862,0.2106330543756485,0.18338239192962646,22,20,0,0,0.0,0.0
30759,19,0.2181,0.7235,0.545,0.0709,0.4595627784729004,0.25511351227760315,0.28532376885414124,5,8,1,1,0.38685280723454163,0.31546487678572877
29354,356,0.0966,0.147,1.0,0.8797,0.6437291502952576,0.2636812627315521,0.09258962422609329,8,8,1,1,0.31546487678572877,0.31546487678572877
29366,73,0.1366,0.2234,0.7842,0.4895,0.5943559408187866,0.26334404945373535,0.14229997992515564,13,57,0,0,0.0,0.0
14262,64,0.0788,0.3834,0.7842,0.4895,0.6205632090568542,0.22459761798381805,0.15483911335468292,7,7,1,1,0.3333333333333333,0.3333333333333333
33681,542,0.016,0.2149,1.0,0.9182,0.6893133521080017,0.2179267555475235,0.09275994449853897,52,37,0,0,0.0,0.0
31307,52,0.0828,0.3894,0.6349,0.2005,0.5960415601730347,0.20727232098579407,0.19668617844581604,73,28,0,0,0.0,0.0
11336,103,0.048,0.2797,0.8485,0.6031,0.6554226875305176,0.2165634036064148,0.1280139684677124,71,80,0,0,0.0,0.0
5615,59,0.0825,0.286,0.772,0.4664,0.6240676641464233,0.227873757481575,0.14805853366851807,15,7,0,1,0.0,0.3333333333333333
18879,25,0.0741,0.4421,0.607,0.1534,0.5908235907554626,0.19811555743217468,0.21106085181236267,60,5,0,1,0.0,0.38685280723454163
33964,48,0.1273,0.3023,0.726,0.376,0.588579535484314,0.24705354869365692,0.16436690092086792,69,11,0,0,0.0,0.0
41538,350,0.0656,0.2762,0.9522,0.748,0.658440113067627,0.23230624198913574,0.10925368219614029,39,20,0,0,0.0,0.0
